CustomerID,CA_Total,Nb_Commandes,Frequence_Achat,Premiere_Date,Derniere_Date,Pays,Anciennete
12346.0,77183.6,1,1,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,0
12347.0,4310.0,182,7,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,365
12348.0,1797.24,31,4,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,282
12349.0,1757.55,73,1,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,0
12350.0,334.4,17,1,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,0
12352.0,2506.04,85,8,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,260
12353.0,89.0,4,1,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,0
12354.0,1079.4,58,1,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,0
12355.0,459.4,13,1,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,0
12356.0,2811.43,59,3,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,302
12357.0,6207.67,131,1,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,0
12358.0,1168.06,19,2,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,149
12359.0,6372.58,248,4,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,274
12360.0,2662.06,129,3,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,148
12361.0,189.9,10,1,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,0
12362.0,5226.23,266,10,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,292
12363.0,552.0,23,2,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,132
12364.0,1313.1,85,4,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,104
12365.0,641.38,22,2,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,0
12367.0,168.9,11,1,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,0
12370.0,3545.69,167,4,2010-12-14 12:58:00,2011-10-19 14:51:00,Multiple,309
12371.0,1887.96,63,2,2011-10-11 10:43:00,2011-10-26 10:16:00,Switzerland,14
12372.0,1298.04,52,3,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,224
12373.0,364.6,14,1,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria,0
12374.0,742.9300000000001,33,1,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria,0
12375.0,457.5,17,2,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland,87
12377.0,1628.12,77,2,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland,39
12378.0,4008.62,219,1,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland,0
12379.0,852.24,40,2,2011-06-22 16:32:00,2011-09-19 10:09:00,Belgium,88
12380.0,2724.81,104,4,2011-06-07 09:49:00,2011-11-18 11:27:00,Belgium,164
12381.0,1845.31,87,5,2011-08-12 09:57:00,2011-12-05 12:44:00,Norway,115
12383.0,1850.56,99,5,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium,167
12384.0,585.27,27,2,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland,92
12386.0,401.9,10,2,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia,29
12388.0,2780.66,100,6,2011-01-17 11:12:00,2011-11-24 12:30:00,Australia,311
12390.0,549.84,32,1,2011-09-21 09:33:00,2011-09-21 09:33:00,Belgium,0
12391.0,460.89,100,1,2011-11-18 12:07:00,2011-11-18 12:07:00,Cyprus,0
12393.0,1582.6000000000001,64,4,2011-01-11 09:47:00,2011-09-28 15:41:00,Australia,260
12394.0,1272.48,27,2,2011-05-06 14:01:00,2011-10-07 08:08:00,Multiple,153
12395.0,3018.63,156,12,2010-12-03 16:35:00,2011-11-20 15:21:00,Belgium,351
12397.0,2409.9,126,2,2011-07-27 14:21:00,2011-11-04 09:52:00,Belgium,99
12398.0,1635.6599999999999,85,1,2011-10-25 10:27:00,2011-10-25 10:27:00,Switzerland,0
12399.0,1108.65,59,4,2011-03-23 09:42:00,2011-08-12 13:15:00,Belgium,142
12401.0,84.3,5,1,2011-02-09 13:50:00,2011-02-09 13:50:00,Belgium,0
12402.0,225.6,11,1,2011-01-20 13:49:00,2011-01-20 13:49:00,Belgium,0
12403.0,427.7,5,1,2011-10-21 10:51:00,2011-10-21 10:51:00,Denmark,0
12405.0,1710.39,54,1,2011-07-14 08:52:00,2011-07-14 08:52:00,Finland,0
12406.0,3415.3,105,2,2011-06-09 10:23:00,2011-11-17 19:22:00,Denmark,161
12407.0,1708.1200000000001,77,5,2011-03-20 13:21:00,2011-10-21 10:11:00,Belgium,214
12408.0,2888.55,105,5,2011-03-24 14:46:00,2011-11-07 12:27:00,Belgium,227
12409.0,11072.67,109,3,2011-06-10 12:19:00,2011-09-22 10:38:00,Switzerland,103
12410.0,693.3299999999999,26,2,2011-02-04 10:38:00,2011-02-04 10:39:00,Switzerland,0
12412.0,1226.88,61,3,2011-06-23 13:51:00,2011-09-26 10:16:00,Denmark,94
12413.0,758.1,38,3,2011-01-06 16:12:00,2011-10-04 09:00:00,France,270
12414.0,562.41,18,3,2011-02-02 14:51:00,2011-05-06 14:51:00,Austria,93
12415.0,124914.53,714,21,2011-01-06 11:12:00,2011-11-15 14:22:00,Australia,313
12417.0,3649.1,192,9,2010-12-17 11:51:00,2011-12-06 14:52:00,Multiple,354
12418.0,668.58,34,1,2011-08-19 11:08:00,2011-08-19 11:08:00,Switzerland,0
