StockCode,Quantite_Totale,CA_Total,Nb_Lignes_Commandes,Nb_Clients_Uniques
10002,823,699.55,49,40
10080,291,114.41,21,19
10120,193,40.53,30,25
10123C,5,3.25,3,3
10124A,16,6.72,5,5
10124G,17,7.14,4,4
10125,1226,930.3,64,49
10133,2384,1143.6100000000001,124,101
10135,1938,1786.69,121,92
11001,1252,1953.0,64,44
15030,143,41.47,13,11
15034,6419,697.0600000000001,91,70
15036,21876,16044.44,325,194
15039,1559,1133.15,71,58
15044A,428,1248.2800000000002,79,53
15044B,307,865.6500000000001,48,36
15044C,272,782.4000000000001,61,43
15044D,630,1735.74,74,53
15056BL,2779,15218.67,291,142
15056N,3826,20696.71,382,184
15056P,769,4254.16,137,87
15058A,148,1104.6,51,40
15058B,115,866.25,41,32
15058C,193,894.35,30,26
15060B,411,1482.87,95,68
16008,2892,360.71,70,54
16010,30,3.5999999999999996,3,3
16011,1773,372.33,47,38
16012,1244,261.24,37,33
16014,13328,4335.76,54,34
16015,662,289.98,24,19
16016,1273,1053.45,65,41
16020C,6,5.1,2,1
16033,840,100.79999999999998,4,4
16043,98,11.759999999999998,2,2
16045,8900,380.0,69,61
16046,67,56.949999999999996,16,13
16048,1437,186.84,49,41
16049,504,82.08,5,5
16052,467,105.28999999999999,6,5
16054,1166,140.52,33,29
16151A,49,61.25,3,3
16156L,475,199.5,18,17
16156S,5800,2331.0,167,135
16161G,700,70.0,22,22
16161M,25,10.5,1,1
16161P,7226,2990.92,249,189
16161U,4075,1687.5,134,105
16162L,17,11.05,6,5
16162M,26,10.92,7,6
16168M,329,138.18,20,19
16169E,4563,1892.46,150,143
16169K,200,84.0,8,8
16169M,660,277.2,26,24
16169N,25,10.5,1,1
16169P,50,21.0,2,2
16202A,7,3.5,2,2
16202B,29,14.5,2,2
16202E,15,7.5,3,3
16206B,7,8.75,2,2
16207A,13,38.35000000000001,5,4
16207B,4,11.31,3,3
16216,3316,227.14,41,38
16218,3760,253.2,50,43
16219,2915,309.9,47,41
16225,762,599.34,77,57
16235,2665,525.75,81,68
16236,1296,266.56,73,59
16237,4598,886.08,169,109
16238,1261,265.51,80,61
16244B,7,7.85,2,2
16248B,13,16.25,7,7
16254,31,27.91,9,7
16258A,445,156.53,38,29
16259,3380,326.56,31,28
17001,72,20.88,1,1
17003,22963,5980.05,209,136
17007B,24,50.400000000000006,2,2
17011F,80,62.150000000000006,6,6
17012A,270,244.89999999999998,25,21
17012B,455,422.54999999999995,36,33
17012C,363,344.34999999999997,44,37
17012D,387,366.34999999999997,46,35
17012E,59,52.05,4,3
17012F,365,329.05,42,33
17013D,532,257.88,11,10
17014A,154,67.83,7,7
17021,2427,643.14,57,30
17028J,6,2.52,1,1
17038,1501,138.1,19,18
17084A,200,42.0,7,7
17084J,225,47.25,8,8
17084N,1025,212.75,32,25
17084P,349,73.29,13,12
17084R,4032,760.3199999999999,27,16
17090A,109,107.44999999999999,10,9
17090D,29,36.25,13,6
17091A,172,99.29,26,19
17091J,2066,876.34,91,66
17096,2516,443.76000000000005,13,12
17107D,171,436.04999999999995,47,42
17109D,61,32.349999999999994,5,4
17129F,427,291.25,19,11
17136A,404,33.75,20,16
17164B,29,12.18,10,9
17165D,27,28.35,7,6
17174,9,3.7800000000000002,3,3
17191A,4,15.0,2,1
18007,5856,383.76,18,15
18094C,134,153.1,15,13
18097A,5,12.75,4,4
18097C,673,1471.3500000000001,56,43
18098C,193,540.5500000000001,38,24
20615,231,233.34,35,28
20616,134,122.78,25,19
20617,66,137.74,26,20
20618,68,137.88000000000002,28,20
20619,142,206.23000000000002,22,16
20622,163,240.18,33,24
20652,150,194.76,36,26
20653,33,43.67,6,5
20654,105,126.69,24,21
20655,89,109.11,34,20
20657,61,76.39,22,20
20658,328,410.0,62,44
20659,95,140.81,32,18
20661,9,35.07,5,3
20662,11,40.97,5,4
20663,3,11.690000000000001,3,3
20664,6,17.700000000000003,3,3
20665,340,998.2000000000002,73,58
20666,4,11.8,4,4
20667,1,2.95,1,1
20668,12714,1408.56,188,111
20669,195,243.75,47,36
20670,8,29.28,6,5
20671,10,12.5,2,2
20674,1373,1649.06,152,101
20675,2729,3179.9,226,149
20676,4363,5046.9800000000005,304,185
20677,3159,3642.5800000000004,224,133
